This	O 0 4
study	O 5 10
proposes	O 11 19
a	O 20 21
new	B-T 22 25
framework	I-T 26 35
of	I-T 36 38
a	I-T 39 40
numerical	I-T 41 50
modelling	I-T 51 60
of	O 61 63
the	O 64 67
gas	B-P 68 71
exchange	I-P 72 80
between	O 81 88
air	B-M 89 92
and	O 93 96
water	B-M 97 102
across	O 103 109
their	O 110 115
interface,	O 116 125
and	O 127 130
subsequent	O 131 141
chemical	B-P 142 150
reaction	I-P 151 159
in	I-P 160 162
water	I-P 163 168
based	O 169 174
on	O 175 177
an	O 178 180
extended	O 181 189
two-compartment	B-P 190 205
model.	I-P 206 211

The	O 213 216
major	O 217 222
purpose	O 223 230
of	O 231 233
this	O 234 238
study	O 239 244
is	O 245 247
to	O 248 250
provide	O 251 258
a	O 259 260
fundamental	B-P 261 272
concept	I-P 273 280
for	O 281 284
modelling	B-T 285 294
physicochemical	I-T 295 310
processes	I-T 311 320
of	O 321 323
the	O 324 327
gas	B-M 328 331
exchange,	I-P 332 340
followed	O 342 350
by	O 351 353
the	O 354 357
chemical	B-P 358 366
reaction	I-P 367 375
in	I-P 376 378
water.	B-M 379 384

Demonstrating	O 386 399
fundamental	O 400 411
data	O 412 416
and	O 417 420
knowledge	O 421 430
on	O 431 433
the	O 434 437
important	O 438 447
environmental	O 448 461
transport	O 462 471
phenomena,	O 472 481
especially	O 483 493
the	O 494 497
effects	B-P 498 505
of	I-P 506 508
the	I-P 509 512
Schmidt	I-P 513 520
number	I-P 521 527
and	O 528 531
the	O 532 535
chemical	B-P 536 544
reaction	I-P 545 553
rate	I-P 554 558
on	O 559 561
the	O 562 565
gas	B-M 566 569
exchange	I-P 570 578
mechanisms	I-P 579 589
across	I-P 590 596
the	I-P 597 600
interface	I-P 601 610
have	O 611 615
also	O 616 620
been	O 621 625
attempted.	O 626 635

The	O 637 640
gas	B-M 641 644
exchange	I-P 645 653
processes	I-P 654 663
are	O 664 667
separated	O 668 677
into	O 678 682
two	O 683 686
physicochemical	O 687 702
substeps,	O 703 711
the	O 713 716
first	O 717 722
is	O 723 725
the	O 726 729
gas–liquid	B-P 730 740
equilibrium	I-P 741 752
between	O 753 760
the	O 761 764
two	O 765 768
phases,	O 769 775
and	O 777 780
the	O 781 784
second	O 785 791
is	O 792 794
the	O 795 798
chemical	B-P 799 807
reaction	I-P 808 816
in	I-P 817 819
the	I-P 820 823
water	B-M 824 829
phase.	I-P 830 835

A	O 837 838
first-order,	O 839 850
irreversible	B-P 852 864
chemical	I-P 865 873
reaction	I-P 874 882
of	O 883 885
the	O 886 889
gaseous	B-M 890 897
material	I-M 898 906
after	O 907 912
its	O 913 916
uptake	O 917 923
into	O 924 928
the	O 929 932
water	B-M 933 938
phase	I-M 939 944
is	O 945 947
assumed	O 948 955
here	O 956 960
to	O 961 963
simplify	O 964 972
interactions	O 973 985
of	O 986 988
the	O 989 992
chemical	B-P 993 1001
reactions	I-P 1002 1011
and	O 1012 1015
turbulent	B-P 1016 1025
transport	I-P 1026 1035
phenomena	I-P 1036 1045
in	I-P 1046 1048
water.	B-M 1049 1054

While	O 1056 1061
a	O 1062 1063
traditional	O 1064 1075
two-compartment	B-P 1076 1091
model	I-P 1092 1097
assumes	O 1098 1105
uniform	O 1106 1113
concentration	O 1114 1127
of	O 1128 1130
a	O 1131 1132
material	O 1133 1141
in	O 1142 1144
each	O 1145 1149
